Property Address,Price $,No of Beds,No of Baths,SQFT,Property Type,Year Built,Lot Size,Zillow's Estimate $,Property URL
"900 N Point St #CB34J, San Francisco, CA 94109","198,000",2,2,"1,141",Condominium,,,,https://www.zillow.com/homedetails/900-N-Point-St-CB34J-San-Francisco-CA-94109/346266173_zpid/
"984 Moscow St, San Francisco, CA 94112","499,000",3,2,"1,350",Single Family Residence,1914,"2,500",,https://www.zillow.com/homedetails/984-Moscow-St-San-Francisco-CA-94112/15177041_zpid/
"421 Velasco Ave, San Francisco, CA 94134","585,000",3,2,"1,325",Single Family Residence,1952,"2,495","644,800",https://www.zillow.com/homedetails/421-Velasco-Ave-San-Francisco-CA-94134/15175704_zpid/
"1674 40th Ave, San Francisco, CA 94122","1,095,000",2,1,"1,150",Single Family Residence,1938,"2,996","1,290,400",https://www.zillow.com/homedetails/1674-40th-Ave-San-Francisco-CA-94122/15108530_zpid/
"1010 14th St, San Francisco, CA 94114","1,995,000",3,3,"2,250",Single Family Residence,1904,,,https://www.zillow.com/homedetails/1010-14th-St-San-Francisco-CA-94114/15126991_zpid/
"212 Howth St, San Francisco, CA 94112","995,000",5,5,"2,069",Single Family Residence,1910,"2,252","1,146,100",https://www.zillow.com/homedetails/212-Howth-St-San-Francisco-CA-94112/15190917_zpid/
"146 1/2 Noe St, San Francisco, CA 94114","1,454,000",3,2,"4,200",Condominium,1905,,,https://www.zillow.com/homedetails/146-1-2-Noe-St-San-Francisco-CA-94114/347527743_zpid/
"1905 Baker St, San Francisco, CA 94115","2,495,000",3,3,"2,065",Single Family Residence,1900,"2,614","2,655,700",https://www.zillow.com/homedetails/1905-Baker-St-San-Francisco-CA-94115/15082124_zpid/
"2359 15th Ave, San Francisco, CA 94116","1,195,000",3,1,"1,450",Single Family Residence,1927,"2,927","1,374,700",https://www.zillow.com/homedetails/2359-15th-Ave-San-Francisco-CA-94116/15120173_zpid/
